counter;index;instructionType;totalChars 
0;0;original;2911 
6;114;MemberExpression;2907 
12;102;Identifier;2905 
13;101;Identifier;2904 
14;116;Identifier;2876 
16;121;Identifier;2874 
17;120;Identifier;2873 
19;193;Identifier;2870 
21;225;Identifier;2870 
22;232;Identifier;2870 
24;256;Identifier;2870 
25;262;Identifier;2870 
26;268;Identifier;2870 
27;252;Identifier;2870 
29;297;Identifier;2870 
30;288;Identifier;2870 
31;306;Identifier;2870 
32;318;Identifier;2870 
34;326;Identifier;2870 
35;358;Identifier;2870 
36;347;Identifier;2870 
37;342;Identifier;2870 
39;362;Identifier;2870 
56;28;IfStatement;2848 
62;2;Property;2833 
66;51;Literal;2830 
